name,Axis1,Axis2
Group1_1,-1.2677,-0.9145
Group1_10,2.4243,0.6625
Group1_11,-1.9683,-5.5625
Group1_12,0.5036,-4.6705
Group1_13,-0.462,-1.8568
Group1_14,-1.3463,-3.5547
Group1_15,-2.6323,0.033
Group1_16,1.4242,0.9724
Group1_17,1.6963,0.9953
Group1_18,-0.3603,2.0043
Group1_19,0.2906,-5.7295
Group1_2,3.6136,-0.7273
Group1_20,0.8571,0.1819
Group1_21,2.6422,-0.6257
Group1_22,3.789,0.7441
Group1_23,0.0476,-2.2672
Group1_24,3.7032,1.1781
Group1_25,-3.5365,-0.4694
Group1_26,0.9342,0.0579
Group1_27,-1.6582,-4.9707
Group1_28,3.0273,-0.0421
Group1_29,-1.5891,-2.9227
Group1_3,-1.3798,-2.9543
Group1_30,0.9802,-1.0185
Group1_31,-1.4958,0.2532
Group1_32,1.1611,-0.2144
Group1_33,0.0402,-0.191
Group1_34,-1.0638,0.584
Group1_35,-1.1646,-4.2362
Group1_36,3.7121,0.8132
Group1_4,1.6076,-1.0766
Group1_5,2.8869,0.1486
Group1_6,4.3945,1.371
Group1_7,2.5345,1.1834
Group1_8,4.1757,1.0248
Group1_9,2.2364,0.6955
Group2_1,-2.3188,-0.7108
Group2_10,0.9734,-1.48
Group2_11,0.175,-0.5133
Group2_12,0.2504,-4.5713
Group2_13,1.3513,0.3347
Group2_14,0.608,0.1071
Group2_15,3.5886,1.0549
Group2_16,2.1772,0.6252
Group2_17,0.0143,-1.6606
Group2_18,2.6697,0.8724
Group2_19,2.1529,-0.321
Group2_2,4.6034,1.057
Group2_20,2.6458,0.8544
Group2_21,2.8618,-1.2801
Group2_22,0.6623,-1.6911
Group2_23,3.0219,0.4971
Group2_24,3.4853,0.5532
Group2_25,-3.1363,-2.2889
Group2_26,-1.9592,-0.2254
Group2_27,-0.3197,-1.5785
Group2_28,4.0263,0.7894
Group2_29,4.4741,1.0377
Group2_3,4.0607,1.1724
Group2_30,3.7499,0.5621
Group2_31,3.0327,0.4221
Group2_32,3.8906,1.4275
Group2_33,4.4813,1.3386
Group2_34,2.1919,1.0634
Group2_35,3.0085,-1.7367
Group2_36,4.4755,1.4965
Group2_37,3.4265,1.0084
Group2_38,3.4179,1.0903
Group2_39,3.827,0.7348
Group2_4,3.5257,1.2902
Group2_40,0.4485,-2.171
Group2_41,3.0051,0.543
Group2_42,1.2263,-2.7248
Group2_43,2.5448,-0.3267
Group2_44,3.8435,0.8557
Group2_45,2.4654,-1.6344
Group2_46,-1.7626,-0.7654
Group2_47,1.9665,-4.2248
Group2_48,4.2503,1.7147
Group2_49,2.835,1.3158
Group2_5,0.0542,0.2728
Group2_50,2.842,-0.1272
Group2_6,0.2069,0.6581
Group2_7,3.4473,0.6964
Group2_8,1.5706,-1.9898
Group2_9,2.603,0.2379
Group3_1,0.7003,0.1206
Group3_10,2.0399,0.9909
Group3_11,1.8662,-0.3383
Group3_12,0.6564,0.2973
Group3_13,-3.9498,-3.5944
Group3_14,-0.7118,-0.4624
Group3_15,-3.4899,-0.8606
Group3_16,0.4122,0.1316
Group3_17,-1.2819,-1.5329
Group3_18,-2.3504,-0.4978
Group3_19,0.1017,-0.206
Group3_2,2.5851,-1.9739
Group3_20,3.5053,0.5808
Group3_21,2.8501,1.1296
Group3_22,-0.2529,0.9679
Group3_23,0.3581,-0.135
Group3_24,3.3457,0.1514
Group3_25,4.4984,1.1486
Group3_26,-0.3441,-0.7886
Group3_27,-2.5672,-0.5211
Group3_28,-0.9291,-2.7746
Group3_29,4.426,1.5925
Group3_3,3.0767,0.0889
Group3_30,1.2092,0.8827
Group3_31,3.3432,0.0539
Group3_32,-2.6588,0.4231
Group3_33,1.7958,1.098
Group3_34,2.1915,0.3806
Group3_35,-4.9938,-2.1257
Group3_36,-1.3337,0.3004
Group3_37,-1.0637,-1.6959
Group3_38,1.0678,0.347
Group3_39,-1.4298,-0.8831
Group3_4,-0.5292,0.8823
Group3_40,3.801,0.3693
Group3_41,3.9185,0.3283
Group3_42,1.7305,0.7708
Group3_43,1.5393,-0.1769
Group3_44,4.0309,1.4254
Group3_45,1.9181,-1.0489
Group3_46,-2.786,-0.0436
Group3_5,1.2089,-1.8437
Group3_6,1.8358,0.7714
Group3_7,3.3228,0.5709
Group3_8,-1.2139,-0.6752
Group3_9,0.5734,-0.6527
Group4_1,-5.2985,1.6583
Group4_10,-2.7699,1.7738
Group4_11,-6.0067,1.6334
Group4_12,-4.9395,2.7129
Group4_13,-3.6833,-5.6606
Group4_14,3.1591,-1.343
Group4_15,-4.9973,3.7479
Group4_16,0.8571,0.3598
Group4_17,-0.7629,-0.3529
Group4_18,-2.5537,1.9666
Group4_19,0.6353,1.3118
Group4_2,-3.4757,4.0826
Group4_20,-3.7118,2.3909
Group4_21,-4.0175,2.1613
Group4_22,-4.0371,0.4913
Group4_23,1.4828,-3.9711
Group4_24,-2.6971,-0.4314
Group4_25,-6.1436,3.6705
Group4_26,-5.2695,0.2518
Group4_27,-0.7618,-6.465
Group4_28,-7.5213,2.4364
Group4_29,-5.9174,2.1921
Group4_3,-0.8087,1.809
Group4_30,2.2594,1.8733
Group4_31,-6.1823,4.0829
Group4_32,-4.1115,1.9881
Group4_33,-5.9371,0.761
Group4_34,0.9144,0.797
Group4_4,-3.0234,1.6209
Group4_5,-2.313,-4.1957
Group4_6,1.175,0.2093
Group4_7,0.4829,0.6117
Group4_8,0.7608,1.8679
Group4_9,-4.2662,1.9349
Group5_1,-4.5401,1.0129
Group5_10,-0.5094,2.4463
Group5_11,-4.3981,1.1516
Group5_12,1.752,1.5546
Group5_13,-4.7686,-5.3621
Group5_14,-0.9262,-2.6718
Group5_15,-4.2059,2.3191
Group5_16,-0.8233,0.409
Group5_17,-2.0996,-0.3327
Group5_18,-5.3939,1.4835
Group5_19,-2.1538,1.2272
Group5_2,-3.7468,3.6759
Group5_20,-5.4467,2.3024
Group5_21,-0.5393,0.926
Group5_22,-6.6641,-1.3194
Group5_23,-1.4691,-5.6698
Group5_24,-2.5782,-0.6685
Group5_25,-2.8403,1.2728
Group5_26,-5.1123,-0.0897
Group5_27,-0.5107,-3.2189
Group5_28,-6.5685,2.3379
Group5_29,-4.7617,0.9211
Group5_3,1.8566,1.6992
Group5_30,-0.5509,2.3441
Group5_31,0.7035,2.4891
Group5_32,-6.7725,2.8007
Group5_33,-4.6259,0.9215
Group5_34,-0.3114,1.1531
Group5_4,1.7916,1.1585
Group5_5,-4.0384,-5.5639
Group5_6,2.23,1.4344
Group5_7,1.9971,1.3753
Group5_8,0.5118,1.6493
Group5_9,-2.4302,1.3205